,degs,clos,betw,eigen
entrez gene/locuslink:9164967,0.0133,0.2008,0.0,0.0
entrez gene/locuslink:100009298,0.0022,0.2642,0.0,0.0018
entrez gene/locuslink:5515,0.0022,0.2642,0.0,0.0018
entrez gene/locuslink:855314,0.0022,0.2152,0.0,0.0001
entrez gene/locuslink:9164888,0.0155,0.2566,0.0,0.0009
entrez gene/locuslink:6517,0.0022,0.2379,0.0,0.0003
entrez gene/locuslink:64547,0.0022,0.2379,0.0,0.0003
entrez gene/locuslink:5595,0.0022,0.2379,0.0,0.0003
entrez gene/locuslink:9164899,0.0155,0.2581,0.0,0.0009
entrez gene/locuslink:851981,0.0022,0.1832,0.0,0.0
entrez gene/locuslink:856092,0.0066,0.2562,0.0,0.0016
entrez gene/locuslink:856534,0.0066,0.2824,0.0,0.0029
entrez gene/locuslink:2029,0.0022,0.2457,0.0,0.0004
entrez gene/locuslink:10776,0.0022,0.2457,0.0,0.0004
entrez gene/locuslink:983,0.0088,0.2772,0.0,0.0028
entrez gene/locuslink:854746,0.0044,0.2578,0.0,0.0008
entrez gene/locuslink:472,0.0022,0.2282,0.0,0.0001
entrez gene/locuslink:855097,0.0133,0.2662,0.0,0.0021
entrez gene/locuslink:81631,0.0022,0.2312,0.0,0.0002
entrez gene/locuslink:9164884,0.0088,0.2008,0.0,0.0
entrez gene/locuslink:851627,0.0022,0.1999,0.0,0.0
entrez gene/locuslink:854067,0.0111,0.2476,0.0,0.0007
entrez gene/locuslink:1466431,0.0088,0.2421,0.0,0.0006
entrez gene/locuslink:8618592,0.0044,0.2378,0.0,0.0005
entrez gene/locuslink:100009271,0.0044,0.2578,0.0,0.0008
entrez gene/locuslink:9164935,0.0066,0.2486,0.0004,0.0004
entrez gene/locuslink:9164921,0.0022,0.2481,0.0,0.0004
entrez gene/locuslink:854987,0.0022,0.2403,0.0,0.0002
entrez gene/locuslink:850688,0.031,0.2954,0.0002,0.0089
entrez gene/locuslink:855943,0.0044,0.2495,0.0,0.0004
entrez gene/locuslink:855857,0.0022,0.2384,0.0,0.0004
entrez gene/locuslink:10537,0.0022,0.2433,0.0,0.0003
entrez gene/locuslink:51667,0.0022,0.2433,0.0,0.0003
entrez gene/locuslink:853887,0.0044,0.2615,0.0,0.0008
entrez gene/locuslink:852746,0.0044,0.2615,0.0,0.0008
entrez gene/locuslink:9164923,0.0133,0.2413,0.0006,0.0003
entrez gene/locuslink:9164932,0.0111,0.2551,0.0001,0.0008
entrez gene/locuslink:1466441,0.0022,0.2077,0.0,0.0
entrez gene/locuslink:854066,0.0066,0.2711,0.0,0.0015
entrez gene/locuslink:444528,0.0022,0.2558,0.0,0.0009
entrez gene/locuslink:851618,0.0022,0.2386,0.0,0.0002
entrez gene/locuslink:855580,0.0221,0.2648,0.0001,0.0008
entrez gene/locuslink:282322,0.0088,0.2649,0.0001,0.0014
entrez gene/locuslink:406836,0.0022,0.2218,0.0,0.0001
entrez gene/locuslink:641324,0.0022,0.2218,0.0,0.0001
entrez gene/locuslink:10133,0.0111,0.2688,0.0,0.0013
entrez gene/locuslink:8878,0.0044,0.2474,0.0,0.0005
entrez gene/locuslink:23102,0.0022,0.2439,0.0,0.0004
entrez gene/locuslink:23061,0.0022,0.2439,0.0,0.0004
entrez gene/locuslink:854240,0.0442,0.3068,0.0003,0.0262
entrez gene/locuslink:856329,0.0951,0.3173,0.0005,0.0548
entrez gene/locuslink:7329,0.104,0.3289,0.0045,0.0125
entrez gene/locuslink:2542196,0.0044,0.2506,0.0,0.0008
entrez gene/locuslink:23019,0.0022,0.243,0.0,0.0003
entrez gene/locuslink:7324,0.0066,0.2677,0.0,0.0014
entrez gene/locuslink:10477,0.0022,0.243,0.0,0.0003
entrez gene/locuslink:856480,0.1106,0.3176,0.0003,0.0693
entrez gene/locuslink:856599,0.0487,0.3086,0.0001,0.0333
entrez gene/locuslink:853398,0.1018,0.3182,0.0006,0.0583
entrez gene/locuslink:853053,0.0376,0.3007,0.0,0.027
entrez gene/locuslink:854670,0.0111,0.2721,0.0001,0.0057
entrez gene/locuslink:855176,0.0044,0.2621,0.0,0.0039
entrez gene/locuslink:852392,0.0133,0.286,0.0,0.0136
entrez gene/locuslink:855885,0.0752,0.3156,0.0003,0.052
entrez gene/locuslink:856520,0.0221,0.2876,0.0,0.0137
entrez gene/locuslink:856564,0.0088,0.2823,0.0,0.0083
entrez gene/locuslink:851124,0.0088,0.2679,0.0,0.0033
entrez gene/locuslink:856233,0.0597,0.3057,0.0001,0.0392
entrez gene/locuslink:853260,0.0155,0.2865,0.0,0.0122
entrez gene/locuslink:856715,0.0376,0.2988,0.0001,0.023
entrez gene/locuslink:850498,0.0619,0.3162,0.0002,0.0364
entrez gene/locuslink:855664,0.0133,0.2829,0.0,0.0081
entrez gene/locuslink:856379,0.031,0.2897,0.0,0.0114
entrez gene/locuslink:856402,0.0708,0.3135,0.0003,0.0402
entrez gene/locuslink:851932,0.0155,0.2754,0.0,0.0102
entrez gene/locuslink:852075,0.0044,0.2453,0.0,0.0006
entrez gene/locuslink:850541,0.0354,0.2853,0.0003,0.005
entrez gene/locuslink:851845,0.0111,0.2841,0.0,0.0076
entrez gene/locuslink:853048,0.0111,0.2674,0.0,0.005
entrez gene/locuslink:853612,0.0619,0.3059,0.0001,0.0338
entrez gene/locuslink:855226,0.0155,0.2752,0.0,0.006
entrez gene/locuslink:1466493,0.0088,0.2735,0.0,0.0044
entrez gene/locuslink:853886,0.0066,0.2499,0.0,0.0015
entrez gene/locuslink:855665,0.0066,0.2622,0.0,0.0009
entrez gene/locuslink:852852,0.0066,0.291,0.0,0.0039
entrez gene/locuslink:155908,0.0044,0.2466,0.0,0.0005
entrez gene/locuslink:850517,0.0044,0.2563,0.0,0.0007
entrez gene/locuslink:855936,0.0044,0.2145,0.0,0.0001
entrez gene/locuslink:10482,0.0044,0.2473,0.0,0.0005
entrez gene/locuslink:23235,0.0022,0.2386,0.0,0.0002
entrez gene/locuslink:851805,0.0044,0.2633,0.0,0.0011
entrez gene/locuslink:615043,0.0022,0.231,0.0,0.0001
entrez gene/locuslink:100053958,0.0022,0.231,0.0,0.0001
entrez gene/locuslink:512439,0.0022,0.231,0.0,0.0001
entrez gene/locuslink:7323,0.0022,0.219,0.0,0.0
entrez gene/locuslink:7328,0.0022,0.2218,0.0,0.0001
entrez gene/locuslink:6737,0.0044,0.2513,0.0,0.0004
entrez gene/locuslink:6048,0.0044,0.2528,0.0,0.0004
entrez gene/locuslink:856252,0.0022,0.2075,0.0,0.0
entrez gene/locuslink:60321,0.0022,0.2484,0.0,0.0005
entrez gene/locuslink:56438,0.0022,0.2352,0.0,0.0002
entrez gene/locuslink:3799971,0.0022,0.2269,0.0,0.0002
entrez gene/locuslink:9164945,0.0022,0.2099,0.0,0.0
entrez gene/locuslink:9164931,0.0111,0.2298,0.0003,0.0001
entrez gene/locuslink:9164920,0.0111,0.2298,0.0003,0.0001
entrez gene/locuslink:945280,0.0044,0.2288,0.0,0.0002
entrez gene/locuslink:851166,0.0133,0.2563,0.0004,0.0008
entrez gene/locuslink:853530,0.0044,0.2317,0.0003,0.0002
entrez gene/locuslink:855461,0.0022,0.1881,0.0,0.0
entrez gene/locuslink:852176,0.0044,0.2047,0.0021,0.0
entrez gene/locuslink:851951,0.0022,0.2046,0.0,0.0
entrez gene/locuslink:852202,0.0088,0.2868,0.0001,0.0032
entrez gene/locuslink:856267,0.0022,0.2617,0.0,0.0011
entrez gene/locuslink:856900,0.0022,0.2617,0.0,0.0011
entrez gene/locuslink:850590,0.0022,0.2617,0.0,0.0011
entrez gene/locuslink:855560,0.0022,0.2617,0.0,0.0011
entrez gene/locuslink:856388,0.0044,0.2699,0.0,0.0014
entrez gene/locuslink:854984,0.0022,0.2617,0.0,0.0011
entrez gene/locuslink:850750,0.0022,0.2617,0.0,0.0011
entrez gene/locuslink:854468,0.0066,0.267,0.0,0.0012
entrez gene/locuslink:850994,0.0022,0.2617,0.0,0.0011
entrez gene/locuslink:850882,0.0066,0.2618,0.0003,0.0011
entrez gene/locuslink:853700,0.0022,0.2617,0.0,0.0011
entrez gene/locuslink:853931,0.0022,0.2617,0.0,0.0011
entrez gene/locuslink:852730,0.0066,0.2671,0.0001,0.0012
entrez gene/locuslink:855283,0.0022,0.2617,0.0,0.0011
entrez gene/locuslink:851498,0.0022,0.2617,0.0,0.0011
entrez gene/locuslink:851104,0.0022,0.2617,0.0,0.0011
entrez gene/locuslink:852875,0.0066,0.2714,0.0002,0.0016
entrez gene/locuslink:855889,0.0066,0.2723,0.0,0.0022
entrez gene/locuslink:856079,0.0022,0.2628,0.0,0.0012
entrez gene/locuslink:855588,0.0066,0.2839,0.0,0.003
entrez gene/locuslink:853805,0.0243,0.2986,0.0001,0.0057
entrez gene/locuslink:853664,0.0044,0.2648,0.0,0.0013
entrez gene/locuslink:853844,0.0022,0.2628,0.0,0.0012
entrez gene/locuslink:855096,0.0022,0.2628,0.0,0.0012
entrez gene/locuslink:851037,0.0022,0.2628,0.0,0.0012
entrez gene/locuslink:855293,0.0022,0.2628,0.0,0.0012
entrez gene/locuslink:855368,0.0044,0.2689,0.0,0.0017
entrez gene/locuslink:853122,0.0044,0.2689,0.0,0.0017
entrez gene/locuslink:853766,0.0066,0.2737,0.0,0.0019
entrez gene/locuslink:855876,0.0088,0.2741,0.0,0.0021
entrez gene/locuslink:851473,0.0066,0.2698,0.0,0.0017
entrez gene/locuslink:854216,0.0022,0.2494,0.0,0.0004
entrez gene/locuslink:852479,0.0022,0.2494,0.0,0.0004
entrez gene/locuslink:856401,0.0022,0.2494,0.0,0.0004
entrez gene/locuslink:851477,0.0022,0.2494,0.0,0.0004
entrez gene/locuslink:851419,0.0022,0.2494,0.0,0.0004
entrez gene/locuslink:851162,0.0044,0.2514,0.0,0.0005
entrez gene/locuslink:23192,0.0022,0.2439,0.0,0.0004
entrez gene/locuslink:4077,0.0044,0.2555,0.0,0.0009
entrez gene/locuslink:665,0.0022,0.2439,0.0,0.0004
entrez gene/locuslink:444874,0.0066,0.2605,0.0,0.0011
entrez gene/locuslink:9833,0.0022,0.2256,0.0,0.0001
entrez gene/locuslink:23130,0.0022,0.2452,0.0,0.0005
entrez gene/locuslink:379991,0.0022,0.2483,0.0,0.0004
entrez gene/locuslink:850896,0.0022,0.2225,0.0,0.0001
entrez gene/locuslink:853721,0.0044,0.2281,0.0,0.0001
entrez gene/locuslink:7290,0.0022,0.2483,0.0,0.0005
entrez gene/locuslink:4863,0.0022,0.2483,0.0,0.0005
entrez gene/locuslink:851055,0.0066,0.2602,0.0,0.0013
entrez gene/locuslink:2247,0.0022,0.2443,0.0,0.0004
entrez gene/locuslink:3183,0.0111,0.275,0.0001,0.0014
entrez gene/locuslink:7514,0.0022,0.2439,0.0,0.0008
entrez gene/locuslink:506900,0.0088,0.2598,0.0,0.0008
entrez gene/locuslink:855615,0.0022,0.2588,0.0,0.0007
entrez gene/locuslink:9164938,0.0022,0.2151,0.0,0.0
entrez gene/locuslink:8454,0.0022,0.222,0.0,0.0001
entrez gene/locuslink:6449,0.031,0.2809,0.0007,0.0016
entrez gene/locuslink:1869,0.0044,0.2431,0.0,0.0004
entrez gene/locuslink:853242,0.0088,0.2871,0.0,0.0051
entrez gene/locuslink:576779,0.0332,0.2822,0.0003,0.0048
entrez gene/locuslink:852349,0.0066,0.2769,0.0,0.002
entrez gene/locuslink:853973,0.0044,0.2202,0.0,0.0002
entrez gene/locuslink:100337511,0.0022,0.2404,0.0,0.0003
entrez gene/locuslink:404299,0.0022,0.2081,0.0,0.0
entrez gene/locuslink:417950,0.0088,0.2606,0.0,0.001
entrez gene/locuslink:854726,0.0044,0.2219,0.0,0.0001
entrez gene/locuslink:854060,0.0133,0.17,0.0017,0.0
entrez gene/locuslink:852333,0.0022,0.1453,0.0,0.0
entrez gene/locuslink:852268,0.0022,0.1453,0.0,0.0
entrez gene/locuslink:852509,0.0022,0.1453,0.0,0.0
entrez gene/locuslink:850365,0.0022,0.1453,0.0,0.0
entrez gene/locuslink:54778,0.0044,0.222,0.0,0.0001
entrez gene/locuslink:5530,0.0022,0.2508,0.0,0.0005
entrez gene/locuslink:2740,0.0044,0.2234,0.0,0.0002
entrez gene/locuslink:852266,0.0022,0.2363,0.0,0.0002
entrez gene/locuslink:427887,0.0044,0.2586,0.0,0.0009
entrez gene/locuslink:23327,0.0022,0.2484,0.0,0.0003
entrez gene/locuslink:116636,0.0022,0.2378,0.0,0.0002
entrez gene/locuslink:68051,0.0022,0.2394,0.0,0.0002
entrez gene/locuslink:2542801,0.0022,0.2492,0.0,0.0005
entrez gene/locuslink:2542255,0.0022,0.2233,0.0,0.0001
entrez gene/locuslink:854506,0.0531,0.286,0.0012,0.0031
entrez gene/locuslink:855902,0.0044,0.2559,0.0,0.0009
entrez gene/locuslink:856667,0.0066,0.2612,0.0,0.0019
entrez gene/locuslink:850534,0.0022,0.2527,0.0,0.0008
entrez gene/locuslink:1466438,0.0022,0.2252,0.0,0.0001
entrez gene/locuslink:856412,0.0022,0.206,0.0,0.0
entrez gene/locuslink:852799,0.0088,0.2384,0.0,0.0004
entrez gene/locuslink:851626,0.0022,0.2224,0.0,0.0001
entrez gene/locuslink:855799,0.0022,0.2224,0.0,0.0001
entrez gene/locuslink:852637,0.0066,0.2429,0.0,0.0004
entrez gene/locuslink:850967,0.0044,0.2539,0.0,0.0006
entrez gene/locuslink:855513,0.0088,0.2844,0.0,0.0036
entrez gene/locuslink:1466422,0.0022,0.2384,0.0,0.0002
entrez gene/locuslink:852131,0.0022,0.2231,0.0,0.0001
entrez gene/locuslink:1466485,0.0022,0.2231,0.0,0.0001
entrez gene/locuslink:852370,0.0022,0.2404,0.0,0.0003
entrez gene/locuslink:852482,0.0022,0.2404,0.0,0.0003
entrez gene/locuslink:51720,0.0066,0.2606,0.0,0.0009
entrez gene/locuslink:4287,0.0044,0.2234,0.0,0.0001
entrez gene/locuslink:9164930,0.0044,0.2337,0.0,0.0002
entrez gene/locuslink:852731,0.0111,0.25,0.0,0.0006
entrez gene/locuslink:9164988,0.0022,0.1771,0.0,0.0
entrez gene/locuslink:8737,0.0022,0.2386,0.0,0.0002
entrez gene/locuslink:56616,0.0022,0.2386,0.0,0.0002
entrez gene/locuslink:6774,0.0022,0.2386,0.0,0.0002
entrez gene/locuslink:28988,0.0022,0.2386,0.0,0.0002
entrez gene/locuslink:11035,0.0022,0.2386,0.0,0.0002
entrez gene/locuslink:578,0.0022,0.2386,0.0,0.0002
entrez gene/locuslink:572,0.0022,0.2386,0.0,0.0002
entrez gene/locuslink:855856,0.0044,0.2274,0.0,0.0001
entrez gene/locuslink:855168,0.0022,0.2206,0.0,0.0001
entrez gene/locuslink:850992,0.0022,0.2607,0.0,0.0012
entrez gene/locuslink:29101,0.0022,0.2588,0.0,0.0007
entrez gene/locuslink:1460,0.0022,0.2558,0.0,0.0009
entrez gene/locuslink:417947,0.0022,0.2558,0.0,0.0009
entrez gene/locuslink:417956,0.0022,0.2558,0.0,0.0009
entrez gene/locuslink:856747,0.0022,0.2257,0.0,0.0001
entrez gene/locuslink:615087,0.0022,0.2302,0.0,0.0002
entrez gene/locuslink:404053,0.0022,0.2302,0.0,0.0002
entrez gene/locuslink:23163,0.0022,0.2588,0.0,0.0008
entrez gene/locuslink:23062,0.0022,0.2588,0.0,0.0008
entrez gene/locuslink:855899,0.0044,0.2296,0.0,0.0001
entrez gene/locuslink:851885,0.0022,0.2066,0.0,0.0
entrez gene/locuslink:856717,0.0022,0.2379,0.0,0.0003
entrez gene/locuslink:55743,0.0022,0.2218,0.0,0.0001
entrez gene/locuslink:100335534,0.0022,0.231,0.0,0.0001
entrez gene/locuslink:1759,0.0022,0.2714,0.0,0.0016
entrez gene/locuslink:51343,0.0044,0.2664,0.0,0.0017
entrez gene/locuslink:24680,0.0022,0.2626,0.0,0.0012
entrez gene/locuslink:7316,0.0288,0.2819,0.0003,0.0032
entrez gene/locuslink:541271,0.0044,0.2581,0.0,0.0028
entrez gene/locuslink:504244,0.0044,0.2581,0.0,0.0028
entrez gene/locuslink:3009,0.0022,0.2712,0.0,0.0024
entrez gene/locuslink:7311,0.0133,0.2644,0.0001,0.0016
entrez gene/locuslink:9097,0.0022,0.2392,0.0,0.0002
entrez gene/locuslink:853865,0.0066,0.2714,0.0,0.0021
entrez gene/locuslink:7415,0.0022,0.2213,0.0,0.0001
entrez gene/locuslink:852574,0.0022,0.2201,0.0,0.0001
entrez gene/locuslink:519935,0.0066,0.2505,0.0,0.0004
entrez gene/locuslink:326601,0.0066,0.2505,0.0,0.0004
entrez gene/locuslink:280691,0.0088,0.2591,0.0,0.0008
entrez gene/locuslink:854517,0.0044,0.2405,0.0,0.0003
entrez gene/locuslink:852985,0.0066,0.2258,0.0003,0.0001
entrez gene/locuslink:856497,0.0044,0.2748,0.0,0.0025
entrez gene/locuslink:853966,0.0044,0.272,0.0,0.0025
entrez gene/locuslink:856093,0.0044,0.2771,0.0,0.0027
entrez gene/locuslink:5430,0.0044,0.2797,0.0,0.0024
entrez gene/locuslink:853806,0.0044,0.2396,0.0,0.0002
entrez gene/locuslink:7334,0.0044,0.2595,0.0,0.0011
entrez gene/locuslink:8349,0.0044,0.2418,0.0,0.0004
entrez gene/locuslink:8290,0.0022,0.231,0.0,0.0001
entrez gene/locuslink:121504,0.0022,0.231,0.0,0.0001
entrez gene/locuslink:8338,0.0022,0.231,0.0,0.0001
entrez gene/locuslink:5564,0.0044,0.2676,0.0,0.0019
entrez gene/locuslink:5571,0.0066,0.2755,0.0,0.0024
entrez gene/locuslink:196483,0.0044,0.2245,0.0,0.0001
entrez gene/locuslink:1938,0.0022,0.2314,0.0,0.0002
entrez gene/locuslink:891,0.0044,0.2463,0.0,0.0004
entrez gene/locuslink:948538,0.0022,0.1981,0.0,0.0
entrez gene/locuslink:22222,0.0022,0.2151,0.0,0.0001
entrez gene/locuslink:4734,0.0044,0.2746,0.0,0.0015
entrez gene/locuslink:6905,0.0044,0.2521,0.0,0.0006
entrez gene/locuslink:2540887,0.0022,0.2268,0.0,0.0001
entrez gene/locuslink:2542667,0.0022,0.2268,0.0,0.0001
entrez gene/locuslink:2542023,0.0044,0.2478,0.0,0.0006
entrez gene/locuslink:393313,0.0022,0.2036,0.0,0.0
entrez gene/locuslink:382,0.0022,0.2247,0.0,0.0001
entrez gene/locuslink:2540389,0.0022,0.2247,0.0,0.0001
entrez gene/locuslink:834173,0.0022,0.2778,0.0,0.0021
entrez gene/locuslink:850949,0.0022,0.2588,0.0,0.0008
entrez gene/locuslink:2541947,0.0022,0.2588,0.0,0.0008
entrez gene/locuslink:10015,0.0022,0.2588,0.0,0.0008
entrez gene/locuslink:851763,0.0022,0.234,0.0,0.0002
entrez gene/locuslink:853131,0.0044,0.2394,0.0,0.0003
entrez gene/locuslink:280993,0.0044,0.2461,0.0,0.0006
entrez gene/locuslink:6314,0.0066,0.2581,0.0,0.0009
entrez gene/locuslink:22213,0.0022,0.2232,0.0,0.0001
entrez gene/locuslink:10987,0.0022,0.2226,0.0,0.0001
entrez gene/locuslink:26754,0.0022,0.2226,0.0,0.0001
entrez gene/locuslink:9978,0.0044,0.2414,0.0,0.0003
entrez gene/locuslink:9040,0.0022,0.2118,0.0,0.0
entrez gene/locuslink:830144,0.0022,0.2365,0.0,0.0002
entrez gene/locuslink:11140,0.0022,0.2714,0.0,0.0013
entrez gene/locuslink:5893,0.0066,0.2745,0.0,0.0023
entrez gene/locuslink:7317,0.0044,0.2445,0.0,0.0003
entrez gene/locuslink:55236,0.0022,0.231,0.0,0.0001
entrez gene/locuslink:2060,0.0022,0.2588,0.0,0.0008
entrez gene/locuslink:8027,0.0022,0.2588,0.0,0.0008
entrez gene/locuslink:10254,0.0044,0.2619,0.0,0.0011
entrez gene/locuslink:853120,0.0022,0.2588,0.0,0.0008
entrez gene/locuslink:140858,0.0022,0.2588,0.0,0.0008
entrez gene/locuslink:18472,0.0022,0.2588,0.0,0.0008
entrez gene/locuslink:12234,0.0022,0.2588,0.0,0.0008
entrez gene/locuslink:30838,0.0022,0.2588,0.0,0.0008
entrez gene/locuslink:50754,0.0022,0.2588,0.0,0.0008
entrez gene/locuslink:231672,0.0022,0.2588,0.0,0.0008
entrez gene/locuslink:59043,0.0022,0.2588,0.0,0.0008
entrez gene/locuslink:67337,0.0022,0.2588,0.0,0.0008
entrez gene/locuslink:66317,0.0022,0.2588,0.0,0.0008
entrez gene/locuslink:2540880,0.0022,0.2251,0.0,0.0001
entrez gene/locuslink:9246,0.0022,0.2778,0.0,0.0021
entrez gene/locuslink:496247,0.0022,0.249,0.0,0.0003
entrez gene/locuslink:380351,0.0022,0.249,0.0,0.0003
entrez gene/locuslink:8451,0.0022,0.2064,0.0,0.0
entrez gene/locuslink:9099,0.0022,0.2588,0.0,0.0008
entrez gene/locuslink:25343,0.0022,0.2437,0.0,0.0005
entrez gene/locuslink:8826,0.0022,0.2242,0.0,0.0001
entrez gene/locuslink:7314,0.0022,0.231,0.0,0.0002
entrez gene/locuslink:854909,0.0066,0.2464,0.0,0.0004
entrez gene/locuslink:810468,0.0022,0.2484,0.0,0.0005
entrez gene/locuslink:853724,0.0044,0.2243,0.0003,0.0001
entrez gene/locuslink:852919,0.0022,0.1832,0.0,0.0
entrez gene/locuslink:850414,0.0044,0.2326,0.0,0.0001
entrez gene/locuslink:28969,0.0022,0.2308,0.0,0.0001
entrez gene/locuslink:4155,0.0044,0.2786,0.0,0.0039
entrez gene/locuslink:851079,0.0022,0.2457,0.0,0.0003
entrez gene/locuslink:855831,0.0022,0.2457,0.0,0.0003
entrez gene/locuslink:854429,0.0022,0.2457,0.0,0.0003
entrez gene/locuslink:852381,0.0022,0.2457,0.0,0.0003
entrez gene/locuslink:853214,0.0022,0.2457,0.0,0.0003
entrez gene/locuslink:851078,0.0022,0.2457,0.0,0.0003
entrez gene/locuslink:856556,0.0022,0.2723,0.0,0.0035
entrez gene/locuslink:853432,0.0022,0.2723,0.0,0.0035
entrez gene/locuslink:850616,0.0022,0.2723,0.0,0.0035
entrez gene/locuslink:9164990,0.0022,0.2381,0.0,0.0002
entrez gene/locuslink:855158,0.0066,0.2138,0.0,0.0
entrez gene/locuslink:100049126,0.0022,0.2305,0.0,0.0002
entrez gene/locuslink:618164,0.0022,0.2712,0.0,0.0024
entrez gene/locuslink:853674,0.0044,0.1869,0.0,0.0
entrez gene/locuslink:852111,0.0044,0.1869,0.0,0.0
entrez gene/locuslink:852704,0.0066,0.2513,0.0,0.0007
entrez gene/locuslink:17196,0.0022,0.2723,0.0,0.0035
entrez gene/locuslink:380481,0.0044,0.2547,0.0,0.0008
entrez gene/locuslink:837357,0.0022,0.2389,0.0,0.0006
entrez gene/locuslink:55802,0.0044,0.2448,0.0,0.0007
entrez gene/locuslink:196513,0.0022,0.2389,0.0,0.0006
entrez gene/locuslink:17918,0.0022,0.2288,0.0,0.0001
entrez gene/locuslink:11200,0.0022,0.2378,0.0,0.0002
entrez gene/locuslink:3837,0.0044,0.2389,0.0,0.0004
entrez gene/locuslink:29539,0.0022,0.1986,0.0,0.0
entrez gene/locuslink:8872,0.0022,0.2308,0.0,0.0001
entrez gene/locuslink:854618,0.0022,0.1453,0.0,0.0
entrez gene/locuslink:851636,0.0022,0.2308,0.0,0.0001
entrez gene/locuslink:84930,0.0022,0.2251,0.0,0.0001
entrez gene/locuslink:57634,0.0022,0.2483,0.0,0.0005
entrez gene/locuslink:10847,0.0022,0.2483,0.0,0.0005
entrez gene/locuslink:3642789,0.0022,0.229,0.0,0.0002
entrez gene/locuslink:3642456,0.0022,0.2288,0.0,0.0001
entrez gene/locuslink:856262,0.0044,0.2294,0.0,0.0001
entrez gene/locuslink:9164909,0.0088,0.2469,0.0,0.0003
entrez gene/locuslink:856487,0.0022,0.265,0.0,0.0015
entrez gene/locuslink:852684,0.0022,0.265,0.0,0.0015
entrez gene/locuslink:854344,0.0022,0.265,0.0,0.0015
entrez gene/locuslink:850570,0.0044,0.2751,0.0,0.0018
entrez gene/locuslink:850555,0.0044,0.2363,0.0,0.0002
entrez gene/locuslink:25636,0.0022,0.2422,0.0,0.0003
entrez gene/locuslink:856845,0.0044,0.2226,0.0,0.0002
entrez gene/locuslink:855200,0.0044,0.2226,0.0,0.0002
entrez gene/locuslink:616800,0.0022,0.24,0.0,0.0004
entrez gene/locuslink:616627,0.0022,0.24,0.0,0.0004
entrez gene/locuslink:513666,0.0022,0.24,0.0,0.0004
entrez gene/locuslink:54984,0.0022,0.228,0.0,0.0002
entrez gene/locuslink:852357,0.0066,0.2401,0.0,0.0004
entrez gene/locuslink:22919,0.0022,0.2535,0.0,0.0009
entrez gene/locuslink:856890,0.0044,0.2537,0.0,0.0024
entrez gene/locuslink:850634,0.0044,0.2611,0.0,0.0009
entrez gene/locuslink:18747,0.0022,0.2091,0.0,0.0
entrez gene/locuslink:100009506,0.0022,0.2478,0.0,0.0006
entrez gene/locuslink:855794,0.0022,0.2443,0.0,0.0004
entrez gene/locuslink:16709,0.0022,0.2398,0.0,0.0004
entrez gene/locuslink:2541870,0.0022,0.2308,0.0,0.0001
entrez gene/locuslink:853498,0.0133,0.2452,0.0,0.0006
entrez gene/locuslink:853855,0.0155,0.2497,0.0,0.0008
entrez gene/locuslink:851208,0.0133,0.2541,0.0,0.0012
entrez gene/locuslink:853847,0.0022,0.2392,0.0,0.0004
entrez gene/locuslink:855547,0.0022,0.2171,0.0,0.0001
entrez gene/locuslink:850549,0.0044,0.2407,0.0,0.001
entrez gene/locuslink:856615,0.0044,0.235,0.0,0.0001
entrez gene/locuslink:851013,0.0044,0.2508,0.0,0.0004
entrez gene/locuslink:2540324,0.0044,0.243,0.0,0.0009
entrez gene/locuslink:57602,0.0022,0.2148,0.0,0.0
entrez gene/locuslink:9232,0.0044,0.2425,0.0,0.0005
entrez gene/locuslink:3093,0.0022,0.2778,0.0,0.0021
entrez gene/locuslink:854323,0.0044,0.2557,0.0,0.0011
entrez gene/locuslink:855213,0.0022,0.2522,0.0,0.0006
entrez gene/locuslink:854600,0.0022,0.2522,0.0,0.0006
entrez gene/locuslink:854416,0.0022,0.2276,0.0,0.0001
entrez gene/locuslink:854057,0.0022,0.1926,0.0,0.0
entrez gene/locuslink:56997,0.0088,0.2386,0.0003,0.0002
entrez gene/locuslink:855877,0.0022,0.2542,0.0,0.0016
entrez gene/locuslink:852125,0.0022,0.2542,0.0,0.0016
entrez gene/locuslink:844050,0.0022,0.207,0.0,0.0
entrez gene/locuslink:829734,0.0022,0.2361,0.0,0.0003
entrez gene/locuslink:4998,0.0022,0.2169,0.0,0.0001
entrez gene/locuslink:853281,0.0088,0.2739,0.0,0.0016
entrez gene/locuslink:855997,0.0022,0.2392,0.0,0.0002
entrez gene/locuslink:3020,0.0022,0.2438,0.0,0.0013
entrez gene/locuslink:856170,0.0022,0.2443,0.0,0.0004
entrez gene/locuslink:5241,0.0022,0.2383,0.0,0.0002
entrez gene/locuslink:855825,0.0022,0.2413,0.0,0.0004
entrez gene/locuslink:853939,0.0022,0.2146,0.0,0.0
entrez gene/locuslink:851484,0.0022,0.2271,0.0,0.0001
entrez gene/locuslink:855824,0.0022,0.2335,0.0,0.0002
entrez gene/locuslink:855758,0.0243,0.2496,0.0,0.0004
entrez gene/locuslink:55898,0.0022,0.2511,0.0,0.0006
entrez gene/locuslink:855223,0.0044,0.2389,0.0,0.0004
entrez gene/locuslink:850900,0.0066,0.2482,0.0001,0.0004
entrez gene/locuslink:3024,0.0022,0.2712,0.0,0.0024
entrez gene/locuslink:852191,0.0066,0.255,0.0,0.0008
entrez gene/locuslink:850976,0.0022,0.228,0.0,0.0002
entrez gene/locuslink:1466399,0.0066,0.232,0.0,0.0002
