,degs,clos,betw,eigen
entrez gene/locuslink:851394,0.0686,0.3125,0.0014,0.0077
entrez gene/locuslink:853827,0.0022,0.2381,0.0,0.0003
entrez gene/locuslink:852991,0.0288,0.2816,0.0008,0.0028
entrez gene/locuslink:850417,0.0022,0.2381,0.0,0.0003
entrez gene/locuslink:856690,0.0066,0.2595,0.0,0.0009
entrez gene/locuslink:850618,0.0022,0.2381,0.0,0.0003
entrez gene/locuslink:855784,0.0066,0.2518,0.0,0.0005
entrez gene/locuslink:854167,0.0022,0.2381,0.0,0.0003
entrez gene/locuslink:850946,0.0199,0.2951,0.0003,0.0033
entrez gene/locuslink:852577,0.0531,0.2959,0.0006,0.0054
entrez gene/locuslink:855297,0.0199,0.2712,0.0001,0.0016
entrez gene/locuslink:855169,0.031,0.2752,0.0002,0.0014
entrez gene/locuslink:854236,0.0265,0.3164,0.0003,0.0141
entrez gene/locuslink:852587,0.0088,0.2665,0.0004,0.0011
entrez gene/locuslink:850361,0.0066,0.2248,0.0007,0.0001
entrez gene/locuslink:853408,0.0111,0.2797,0.0007,0.0041
entrez gene/locuslink:854227,0.1018,0.3233,0.0027,0.0137
entrez gene/locuslink:854204,0.0265,0.2868,0.0004,0.0028
entrez gene/locuslink:853002,0.0177,0.3144,0.0004,0.0103
entrez gene/locuslink:856236,0.0708,0.326,0.0015,0.0151
entrez gene/locuslink:855587,0.0465,0.3057,0.0013,0.0063
entrez gene/locuslink:851994,0.0354,0.2964,0.0007,0.0045
entrez gene/locuslink:852021,0.0133,0.2901,0.0,0.0084
entrez gene/locuslink:856430,0.0088,0.262,0.0004,0.0007
entrez gene/locuslink:855756,0.0133,0.2846,0.0,0.0075
entrez gene/locuslink:851400,0.0088,0.2821,0.0,0.0037
entrez gene/locuslink:851191,0.0111,0.3118,0.0001,0.0085
entrez gene/locuslink:851153,0.1084,0.3105,0.0018,0.0141
entrez gene/locuslink:855680,0.0265,0.2896,0.0001,0.005
entrez gene/locuslink:853644,0.0066,0.2405,0.0,0.0004
entrez gene/locuslink:855251,0.0044,0.2477,0.0,0.0007
entrez gene/locuslink:852452,0.0442,0.3361,0.0015,0.0274
entrez gene/locuslink:852074,0.0044,0.2521,0.0,0.0007
entrez gene/locuslink:850676,0.0243,0.3029,0.0002,0.0063
entrez gene/locuslink:850504,0.1128,0.3398,0.0039,0.0237
entrez gene/locuslink:854479,0.0022,0.2229,0.0,0.0001
entrez gene/locuslink:850914,0.0354,0.3148,0.0007,0.0084
entrez gene/locuslink:854855,0.0398,0.3082,0.0013,0.0076
entrez gene/locuslink:851148,0.0442,0.3362,0.0007,0.0252
entrez gene/locuslink:855744,0.0155,0.2961,0.0001,0.0056
entrez gene/locuslink:855119,0.0243,0.279,0.0004,0.0026
entrez gene/locuslink:850674,0.0022,0.2181,0.0,0.0001
entrez gene/locuslink:854541,0.0155,0.3098,0.0003,0.0068
entrez gene/locuslink:856454,0.0088,0.2408,0.0006,0.0002
entrez gene/locuslink:853553,0.0619,0.2966,0.0018,0.004
